region,periodo,CBA,CBT,codigo
Cuyo,2015.4,1224.64,2951.38,42
Cuyo,2016.1,1315.41333333333,3218.99333333333,42
Cuyo,2016.2,1400.57,3637.08666666667,42
Cuyo,2016.3,1508.80666666667,3872.37,42
Cuyo,2016.4,1570.29666666667,4030.40666666667,42
Cuyo,2017.1,1635.08,4218.61666666667,42
Cuyo,2017.2,1731.18666666667,4512.68666666667,42
Cuyo,2017.3,1801.53,4689.87,42
Cuyo,2017.4,1893.92333333333,4975.42333333333,42
Cuyo,2018.1,2012.55,5373.77666666667,42
Cuyo,2018.2,2157.92666666667,5795.53666666667,42
Cuyo,2018.3,2466.96,6537.66333333333,42
Cuyo,2018.4,2899.13333333333,7692.51333333333,42
Cuyo,2019.1,3196.64333333333,8448.32,42
Cuyo,2019.2,3472.48666666667,9272.14666666667,42
Cuyo,2019.3,3831.78666666667,10179.8533333333,42
Cuyo,2019.4,4323.53666666667,11499.7166666667,42
Cuyo,2020.1,4860.62876666667,12571.92,42
Cuyo,2020.2,5133.55338,13159.1533333333,42
Cuyo,2020.3,5388.83,13939.2133333333,42
Cuyo,2020.4,6226.30333333333,15896.0833333333,42
Cuyo,2021.1,7053.95609435956,17775.1466666667,42
Cuyo,2021.2,7827.28192666667,19566.5466666667,42
Cuyo,2021.3,8461.29176272667,21151.4369466667,42
Cuyo,2021.4,9203.95333333333,22792.2866666667,42
GBA,2015.4,1367.11,3103.34,1
GBA,2016.1,1469.03666666667,3379.27333333333,1
GBA,2016.2,1563.4,3809.80333333333,1
GBA,2016.3,1684.25,4053.19,1
GBA,2016.4,1756.20333333333,4232.45,1
GBA,2017.1,1828.91,4432.32333333333,1
GBA,2017.2,1936.37666666667,4744.12333333333,1
GBA,2017.3,2018.67,4932.17,1
GBA,2017.4,2118.45333333333,5219.2,1
GBA,2018.1,2251.01666666667,5650.37666666667,1
GBA,2018.2,2421.40333333333,6115.79666666667,1
GBA,2018.3,2753.57666666667,6856.65333333333,1
GBA,2018.4,3242.27,8084.25333333333,1
GBA,2019.1,3595.93666666667,8928.18666666667,1
GBA,2019.2,3920.31666666667,9814.44333333333,1
GBA,2019.3,4309.17,10758.6233333333,1
GBA,2019.4,4841.98333333333,12103.9933333333,1
GBA,2020.1,5460.4,13285.6033333333,1
GBA,2020.2,5803.82,13968.1833333333,1
GBA,2020.3,6099.71666666667,14802.0366666667,1
GBA,2020.4,7008.02,16817.1233333333,1
GBA,2021.1,7980.85333333333,18913.7,1
GBA,2021.2,8901.20333333333,20915.9533333333,1
GBA,2021.3,9773.52125999999,22965.71676,1
GBA,2021.4,10314.2833333333,23994.5233333333,1
Noreste,2015.4,1246.58,2642.75,41
Noreste,2016.1,1331.61,2867.84666666667,41
Noreste,2016.2,1407.84,3214.91666666667,41
Noreste,2016.3,1512.93333333333,3413.94666666667,41
Noreste,2016.4,1568.09333333333,3538.64666666667,41
Noreste,2017.1,1627.85666666667,3695.33333333333,41
Noreste,2017.2,1727.41666666667,3961.59666666667,41
Noreste,2017.3,1793.25,4106.42666666667,41
Noreste,2017.4,1888.46666666667,4362.94333333333,41
Noreste,2018.1,2008.52666666667,4720.32666666667,41
Noreste,2018.2,2157.02,5096.03333333333,41
Noreste,2018.3,2461.60666666667,5735.76,41
Noreste,2018.4,2886.34333333333,6734.93333333333,41
Noreste,2019.1,3188.49333333333,7417.52333333333,41
Noreste,2019.2,3471.27,8146.19666666667,41
Noreste,2019.3,3852.99333333333,9003.21333333333,41
Noreste,2019.4,4349.90333333333,10177.8566666667,41
Noreste,2020.1,4892.80688,11138.34,41
Noreste,2020.2,5170.1901,11650.3266666667,41
Noreste,2020.3,5451.66666666667,12411.69,41
Noreste,2020.4,6276.49333333333,14100.19,41
Noreste,2021.1,7168.82801982934,15890.9733333333,41
Noreste,2021.2,7976.99985333333,17547.7566666667,41
Noreste,2021.3,8670.99884057333,19074.4114966667,41
Noreste,2021.4,9312.75333333333,20267.58,41
Noroeste,2015.4,1205.31,2531.15,40
Noroeste,2016.1,1291.73333333333,2756.17,40
Noroeste,2016.2,1372.35,3106.46,40
Noroeste,2016.3,1472.08,3292.33,40
Noroeste,2016.4,1525.45,3411.9,40
Noroeste,2017.1,1578.59333333333,3551.93333333333,40
Noroeste,2017.2,1680.61333333333,3820.65666666667,40
Noroeste,2017.3,1752.61,3978.3,40
Noroeste,2017.4,1845.24333333333,4226.11333333333,40
Noroeste,2018.1,1960.37333333333,4567.94333333333,40
Noroeste,2018.2,2096.08,4910.16,40
Noroeste,2018.3,2403.75333333333,5552.90333333333,40
Noroeste,2018.4,2812.15,6505.57666666667,40
Noroeste,2019.1,3112.08333333333,7177.49,40
